# Tomato32 ROM opcode table — one row per rom_addr (1024x64 microcode). Hardware authority; ISA personalities live under profiles/.
rom_addr,rom_region,mnemonic,group,encoding,semantic_op,ir_imm_sel,alu_op,alu_pre,cin_sel,shift_op,wb_sel,reg_we,bank_en,flags_we,mem_rd,mem_wr,byte_sel,mem_sel,branch_en,jump_type,sp_op,pc_src,pc_link_we,pc_cond,cycles,ctrl_bussel,mul_en,div_en,lut3_index,primitive_id,hardware_tier,notes,status
0x0b2,,,,,,0,150,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0b3,,,,,,0,102,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0b4,,,,,,0,51,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0b5,,,,,,0,202,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0b6,,,,,,0,228,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0b7,,,,,,0,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0b8,,,,,,0,119,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0b9,,,,,,0,17,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0ba,,,,,,0,153,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0bb,,,,,,0,102,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0bc,,,,,,0,232,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0bd,,,,,,0,23,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0be,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0bf,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c0,,,,,,0,105,7,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c1,,,,,,0,105,7,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c2,,,,,,0,105,7,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c3,,,,,,0,105,7,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c4,,,,,,0,105,7,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c5,,,,,,0,105,7,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0c9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0ca,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0cb,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0cc,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0cd,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0d0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0d1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0d2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
